 PAR= 50 {'An': 0, 'cp': 42.75, 'Ci': 407.28000000000003, 'Vc': 0, 'E': 0, 'gs': 0}
 PAR= 1270 {'An': 8.401218812937843, 'cp': 42.75, 'Ci': 258.63010994152904, 'Vc': 89.76920978663348, 'E': 0.057140561795883435, 'gs': 580.8620987909133}
 PAR= 1280 {'An': 8.412665437252441, 'cp': 42.75, 'Ci': 258.4680006229401, 'Vc': 90.01062171699267, 'E': 0.05682935930284136, 'gs': 582.4494377624255}
 PAR= 1290 {'An': 8.42388841674875, 'cp': 42.75, 'Ci': 258.3085035632888, 'Vc': 90.24843599586143, 'E': 0.056520907708585366, 'gs': 584.0131425319809}
 PAR= 1300 {'An': 8.434893928733118, 'cp': 42.75, 'Ci': 258.1515561895206, 'Vc': 90.48273246413858, 'E': 0.05621519093716284, 'gs': 585.5537364128977}
 PAR= 1310 {'An': 8.44568793232636, 'cp': 42.75, 'Ci': 257.99709790939875, 'Vc': 90.71358861691499, 'E': 0.05591219196801873, 'gs': 587.0717273998364}
 PAR= 1320 {'An': 8.456276177794388, 'cp': 42.75, 'Ci': 257.8450700338025, 'Vc': 90.94107968903228, 'E': 0.05561189292576086, 'gs': 588.5676087246237}
 PAR= 1330 {'An': 8.466664215412106, 'cp': 42.75, 'Ci': 257.6954157026522, 'Vc': 91.16527873692024, 'E': 0.055314275163453906, 'gs': 590.0418593880569}
 PAR= 1340 {'An': 8.476857403887344, 'cp': 42.75, 'Ci': 257.54807981426484, 'Vc': 91.3862567169039, 'E': 0.05501931933990771, 'gs': 591.4949446689251}
 PAR= 1350 {'An': 8.486860918369707, 'cp': 42.75, 'Ci': 257.40300895795633, 'Vc': 91.6040825601542, 'E': 0.05472700549138756, 'gs': 592.927316611349}
 PAR= 1360 {'An': 8.496679758067682, 'cp': 42.75, 'Ci': 257.26015134971817, 'Vc': 91.81882324445057, 'E': 0.054437313098143994, 'gs': 594.3394144915244}
 PAR= 1370 {'An': 8.506318753495972, 'cp': 42.75, 'Ci': 257.1194567708056, 'Vc': 92.03054386291247, 'E': 0.05415022114612933, 'gs': 595.7316652648744}
 PAR= 1380 {'An': 8.515782573373436, 'cp': 42.75, 'Ci': 256.98087650908536, 'Vc': 92.23930768984714, 'E': 0.05386570818424043, 'gs': 597.1044839945572}
 PAR= 1390 {'An': 8.52507573119095, 'cp': 42.75, 'Ci': 256.8443633029997, 'Vc': 92.44517624385485, 'E': 0.053583752377403114, 'gs': 598.4582742622265}
 PAR= 1400 {'An': 8.534202591467267, 'cp': 42.75, 'Ci': 256.70987128801045, 'Vc': 92.64820934832404, 'E': 0.053304331555790146, 'gs': 599.7934285619101}
 PAR= 1410 {'An': 8.543167375709713, 'cp': 42.75, 'Ci': 256.57735594539747, 'Vc': 92.84846518944128, 'E': 0.05302742326044324, 'gs': 601.1103286777968}
 PAR= 1420 {'An': 8.551974168095649, 'cp': 42.75, 'Ci': 256.446774053291, 'Vc': 93.04600037183351, 'E': 0.05275300478554956, 'gs': 602.4093460466864}
 PAR= 1430 {'An': 8.560626920889833, 'cp': 42.75, 'Ci': 256.3180836398246, 'Vc': 93.2408699719573, 'E': 0.052481053217606835, 'gs': 603.6908421058566}
 PAR= 1440 {'An': 8.569129459611318, 'cp': 42.75, 'Ci': 256.1912439383037, 'Vc': 93.43312758933692, 'E': 0.05221154547169108, 'gs': 604.9551686269741}
 PAR= 1450 {'An': 8.577485487963575, 'cp': 42.75, 'Ci': 256.0662153442884, 'Vc': 93.6228253957554, 'E': 0.051944458325029336, 'gs': 606.2026680367492}
 PAR= 1460 {'An': 8.585698592539883, 'cp': 42.75, 'Ci': 255.94295937449567, 'Vc': 93.81001418249133, 'E': 0.051679768448062754, 'gs': 607.4336737249137}
 PAR= 1470 {'An': 8.593772247315906, 'cp': 42.75, 'Ci': 255.8214386274327, 'Vc': 93.99474340569157, 'E': 0.05141745243317288, 'gs': 608.6485103401038}
 PAR= 1480 {'An': 8.601709817940362, 'cp': 42.75, 'Ci': 255.7016167456758, 'Vc': 94.17706122996644, 'E': 0.05115748682123283, 'gs': 609.8474940742126}
 PAR= 1490 {'An': 8.60951456583419, 'cp': 42.75, 'Ci': 255.5834583797161, 'Vc': 94.3570145702866, 'E': 0.05089984812613178, 'gs': 611.0309329357232}
